Method,Nodes,Edges,Top-10 Degrees,CSA,Control Entropy (H_C),Weighted Control Potential (WCP),Robustness (R - degree)
Baseline,100,291,[29; 27; 26; 16; 16; 16; 13; 13; 12; 12],1.0000,1.0000,1.0000,0.3978
RCP,100,291,[29; 27; 26; 16; 16; 16; 13; 13; 12; 12],1.0000,1.0000,1.0000,0.4859
Bi-level,100,291,[84; 10; 9; 9; 9; 9; 9; 9; 9; 8],1.0000,1.0000,1.0000,0.3751
GA+RL,100,291,[9; 8; 8; 8; 8; 8; 8; 8; 8; 7],1.0000,1.0000,1.0000,0.3909
Onion+Ra,100,291,[29; 27; 26; 16; 16; 16; 13; 13; 12; 12],1.0000,1.0000,1.0000,0.4622
Onion+RL,100,291,[29; 27; 26; 16; 16; 16; 13; 13; 12; 12],1.0000,1.0000,1.0000,0.4759
ROMEN+Ra,100,291,[29; 27; 26; 16; 16; 16; 13; 13; 12; 12],1.0000,1.0000,1.0000,0.3417
ROMEN+RL,100,291,[29; 27; 26; 16; 16; 16; 13; 13; 12; 12],1.0000,1.0000,1.0000,0.4768
BimodalRL,100,291,[29; 27; 26; 16; 16; 16; 13; 13; 12; 12],1.0000,1.0000,1.0000,0.4768
UNITY+Ra,100,291,[11; 11; 10; 10; 10; 9; 9; 9; 8; 8],1.0000,1.0000,1.0000,0.3941
UNITY+RL,100,291,[11; 11; 10; 10; 10; 9; 9; 9; 8; 8],1.0000,1.0000,1.0000,0.4086
