x_val,y_val
0.0,1.0
0.03,3.358901630748402
0.04,3.339655382879849
0.05,2.8959768010281968
0.06,2.894573832667151
0.07,2.865686394186581
0.08,2.715561276390439
0.09,2.6958695377211974
0.1,2.6579414925924163
0.11,2.6325397255979937
0.12,2.6050596237182617
0.13,2.5424453155903874
0.14,2.5023913261217947
0.15,2.4815194266183034
0.22,2.2153197812362455
0.24,1.8586168561662946
0.26,1.4791867905768796
0.27,1.4781629898968864
0.28,1.4652748677267957
0.33,1.0885046096075148
0.34,1.0892794209141885
0.35,1.0127569730164574
0.36,0.9810978571573893
0.37,0.9597262366343353
0.46,0.6664027793734681
0.47,0.6576832611832611
0.48,0.5813994961954143
0.49,0.5762658637658635
0.5,0.2853174603174603
0.51,0.28316236903193426
0.52,0.28945486612153276
0.53,0.29148793126065853
0.54,0.2702104097452934
0.55,0.0
1.0,0.0
