Method,CSA,Control Entropy (H_C),Weighted Control Potential (WCP),Robustness (R - degree)
Baseline,0.9933,2.3026,4.2722,0.3105
RCP,0.9933,2.3026,5.2028,0.4794
Bi-level,0.9933,2.3026,5.1750,0.2120
Bimodal+Random,0.9933,2.3026,4.2103,0.2731
Random+RL,0.9922,2.2771,4.2877,0.3912
GA+RL,0.9933,2.3026,4.2002,0.4305
Onion+Ra,0.9933,2.3026,3.9309,0.4562
Onion+RL,0.9933,2.3026,4.3884,0.4632
SOLO+Ra,0.9933,2.3026,3.8654,0.4169
SOLO+RL,0.9933,2.3026,4.1013,0.4018
ROMEN+Ra,0.9933,2.3026,4.2683,0.3099
ROMEN+RL,0.9933,2.3026,5.1491,0.2722
