Baseline,RCP,Bi-level,Bimodal+Random,Random+RL,GA+RL,Onion+Ra,Onion+RL,SOLO+Ra,SOLO+RL,ROMEN+Ra,ROMEN+RL
0.74,0.8,0.8,0.6,0.71,0.74,0.76,0.79,0.69,0.8,1.0,0.73
0.97,0.77,0.85,0.73,0.76,0.81,0.77,0.79,0.73,0.99,0.69,0.71
0.75,0.8,0.77,0.75,0.96,0.67,0.71,0.97,0.81,0.8,0.74,0.97
0.8,0.78,0.74,0.76,0.69,0.74,0.77,0.78,0.74,0.74,0.79,0.97
0.8,0.72,0.76,0.77,0.78,0.75,0.76,0.71,0.68,0.8,0.71,0.77
0.77,0.8,0.77,0.77,0.91,0.76,0.77,0.79,0.99,0.72,0.76,0.8
0.6,0.77,0.75,0.78,0.71,0.63,0.78,0.56,0.69,0.68,0.78,0.8
0.74,0.8,0.76,0.77,0.77,0.78,0.59,0.8,0.74,0.74,0.67,0.77
0.8,0.81,0.79,0.8,0.77,1.0,0.76,0.97,0.82,0.76,0.79,0.78
0.63,0.8,0.8,0.77,0.77,0.81,0.77,0.77,0.8,0.7,0.8,0.8
0.99,0.76,0.79,0.75,0.7,1.0,0.76,0.8,0.72,0.8,0.83,0.87
0.78,0.79,0.8,0.82,0.77,0.76,0.97,0.79,0.77,0.8,0.78,0.79
0.75,0.78,0.83,0.74,0.78,0.74,0.77,0.69,0.67,0.73,0.79,0.79
0.8,0.81,0.79,0.8,0.73,0.64,0.75,0.76,0.61,0.69,0.79,0.78
0.79,0.73,0.81,0.77,0.7,0.78,0.65,0.75,0.74,0.72,0.8,0.77
0.69,0.8,0.8,0.6,0.78,0.99,0.8,0.76,0.7,0.69,1.0,0.73
0.79,0.79,0.8,0.73,0.75,0.8,0.76,0.7,0.8,0.79,0.68,0.7
1.0,0.81,0.8,0.74,0.76,0.74,0.69,0.92,0.79,0.71,0.74,0.8
0.76,0.83,0.8,0.71,0.8,0.69,0.61,1.0,0.68,0.67,1.0,0.73
0.72,0.7,0.8,0.79,0.78,0.73,0.69,0.71,0.71,0.71,0.71,0.8
0.79,0.78,0.8,0.74,0.78,0.8,0.74,0.79,0.78,0.92,0.75,0.76
0.77,0.77,0.8,0.76,0.76,0.78,0.79,0.83,0.71,0.76,0.7,0.76
0.76,0.8,0.79,0.8,0.76,0.81,0.73,0.75,0.75,0.8,0.79,0.79
1.0,0.79,0.77,0.77,0.79,0.74,0.79,0.99,1.0,0.7,0.68,0.83
1.0,0.73,0.8,0.99,0.81,0.75,0.8,0.78,0.79,0.68,0.62,0.81
0.79,0.73,0.74,0.78,0.79,0.75,0.67,0.99,0.75,0.79,0.77,0.78
0.79,0.73,0.74,0.78,0.88,0.73,0.78,0.77,0.73,0.78,0.99,0.76
0.79,0.78,0.8,0.74,0.69,0.76,0.74,0.79,0.78,0.92,0.75,0.76
0.74,0.76,0.8,0.74,0.8,0.78,0.64,0.78,0.76,0.66,0.8,0.88
0.78,0.79,0.76,0.75,0.8,0.85,0.79,0.8,0.76,0.8,0.69,0.71
0.8,0.75,0.81,0.73,0.8,0.67,0.77,0.78,0.74,0.71,0.68,0.7
0.75,0.73,0.81,0.69,0.76,0.79,0.76,0.66,0.72,0.7,0.79,0.77
0.69,0.79,0.78,0.79,0.76,0.76,0.77,0.77,0.72,0.7,0.74,0.85
1.0,0.73,0.8,0.99,0.76,0.77,0.8,0.79,0.69,0.69,0.62,0.81
0.81,0.71,0.72,0.67,0.81,0.73,0.73,0.79,0.71,0.83,0.77,0.68
0.77,0.81,0.72,0.76,0.72,0.78,0.78,0.73,0.71,0.74,0.71,0.77
0.82,0.76,0.78,0.93,0.81,0.73,0.79,0.8,0.77,0.66,0.69,0.71
0.8,1.0,0.78,0.74,0.8,0.77,0.72,0.69,0.75,0.72,0.79,0.79
0.68,0.79,0.77,0.71,0.73,0.74,0.95,0.72,0.74,0.8,0.83,0.87
0.81,0.71,0.72,0.67,0.67,0.77,0.68,0.78,0.66,0.86,0.77,0.68
0.79,0.79,0.76,0.75,0.77,0.76,0.68,0.69,0.79,0.77,0.8,0.79
0.7,0.72,0.8,0.74,0.79,0.75,0.74,0.59,0.74,0.76,0.74,0.81
0.79,0.82,0.77,0.78,0.73,0.74,0.69,0.82,0.78,0.77,0.76,0.94
0.73,0.79,0.75,0.66,0.76,0.66,0.72,0.78,0.77,0.73,0.77,0.79
0.81,0.8,0.82,0.65,0.8,0.8,0.8,0.77,0.69,0.72,0.69,0.96
0.81,0.8,0.76,0.72,0.8,0.76,0.78,0.72,0.71,0.74,0.77,0.75
0.99,0.77,0.75,0.79,0.77,0.89,0.8,0.82,0.71,0.8,0.8,0.75
0.97,0.79,0.78,0.77,0.79,0.71,0.71,0.66,0.68,0.77,0.78,0.61
0.78,0.76,0.76,0.8,0.78,1.0,0.78,0.76,0.8,0.75,0.79,0.78
0.72,0.76,0.81,0.7,0.79,0.76,0.72,0.8,0.7,0.71,0.81,0.8
