x_val,nn
0.0,1.0
0.005,0.995
0.01,0.99
0.015,0.985
0.02,0.98
0.025,0.975
0.035,0.965
0.04,0.96
0.045,0.955
0.055,0.945
0.06,0.94
0.07,0.925
0.075,0.92
0.08,0.915
0.085,0.91
0.09,0.905
0.1,0.895
0.105,0.89
0.11,0.88
0.115,0.855
0.145,0.85
0.15,0.845
0.155,0.835
0.16,0.83
0.165,0.825
0.17,0.82
0.175,0.81
0.18,0.805
0.185,0.8
0.19,0.795
0.195,0.78
0.2,0.77
0.205,0.76
0.21,0.755
0.215,0.75
0.22,0.74
0.225,0.73
0.27,0.725
0.275,0.715
0.28,0.71
0.285,0.705
0.29,0.7
0.295,0.685
0.3,0.68
0.305,0.67
0.31,0.645
0.315,0.635
0.32,0.63
0.325,0.625
0.33,0.625
0.335,0.62
0.34,0.61
0.345,0.605
0.35,0.6
0.355,0.595
0.36,0.595
0.41,0.585
0.415,0.58
0.42,0.555
0.425,0.555
0.43,0.535
0.435,0.525
0.44,0.525
0.445,0.5
0.45,0.5
0.455,0.495
0.46,0.455
0.465,0.45
0.47,0.45
0.475,0.41
0.48,0.41
0.485,0.3
0.49,0.3
0.495,0.295
0.5,0.24
0.505,0.23
0.51,0.195
0.511,0.0
1.0,0.0
