x_val,nn
0.0,1.0
0.005,0.995
0.01,0.99
0.015,0.985
0.02,0.98
0.025,0.975
0.03,0.965
0.035,0.96
0.04,0.955
0.045,0.945
0.05,0.94
0.055,0.925
0.08,0.92
0.085,0.915
0.09,0.91
0.095,0.905
0.1,0.895
0.105,0.89
0.115,0.88
0.12,0.855
0.125,0.85
0.13,0.845
0.135,0.835
0.14,0.83
0.145,0.825
0.175,0.82
0.18,0.81
0.185,0.805
0.19,0.8
0.195,0.795
0.2,0.78
0.205,0.77
0.21,0.76
0.215,0.755
0.22,0.75
0.225,0.74
0.23,0.73
0.235,0.725
0.24,0.715
0.275,0.71
0.28,0.705
0.285,0.7
0.29,0.685
0.295,0.68
0.3,0.67
0.305,0.645
0.31,0.635
0.315,0.63
0.32,0.625
0.325,0.625
0.33,0.62
0.335,0.61
0.34,0.605
0.345,0.6
0.35,0.595
0.355,0.585
0.36,0.58
0.365,0.555
0.37,0.555
0.375,0.535
0.445,0.525
0.45,0.5
0.455,0.495
0.46,0.455
0.465,0.45
0.47,0.45
0.49,0.45
0.495,0.41
0.5,0.41
0.535,0.41
0.545,0.41
0.55,0.3
0.555,0.3
0.64,0.295
0.645,0.24
0.65,0.23
0.655,0.195
0.656,0.0
1.0,0.0
