Baseline,RCP,Bi-level,Bimodal+Random,Random+RL,GA+RL,Onion+Ra,Onion+RL,SOLO+Ra,SOLO+RL,ROMEN+Ra,ROMEN+RL
0.36,1.0,0.98,0.26,0.56,0.54,1.0,0.76,0.84,0.4,0.36,0.2
0.58,1.0,0.98,0.34,0.3,0.98,0.8,0.8,0.8,1.0,0.56,0.2
0.54,1.0,0.98,0.68,0.72,0.98,1.0,0.8,0.48,0.48,0.32,0.2
0.28,1.0,0.98,0.38,0.6,0.96,0.78,0.8,0.72,0.48,0.56,0.2
0.32,1.0,0.98,0.34,0.34,0.58,0.76,0.76,0.52,0.98,0.36,0.2
0.36,1.0,0.98,0.94,0.44,0.46,1.0,0.78,0.7,0.36,0.32,0.2
0.36,1.0,0.98,0.32,0.6,0.56,0.78,0.78,0.64,0.48,0.36,0.2
0.32,1.0,0.98,0.38,0.96,0.58,1.0,0.78,0.6,0.34,0.76,0.2
0.32,1.0,0.98,0.34,0.54,0.5,0.68,1.0,0.92,0.42,0.52,0.2
0.6,1.0,0.98,0.54,0.42,0.48,0.84,0.78,0.74,0.56,0.36,0.2
0.36,1.0,0.98,0.92,0.98,0.44,1.0,0.8,0.54,0.52,0.32,0.2
0.6,1.0,0.98,0.88,0.24,0.54,0.8,0.8,0.88,0.34,0.54,0.2
0.32,1.0,0.98,0.84,0.52,0.62,0.78,1.0,0.58,0.56,0.88,0.2
0.7,1.0,0.98,0.36,0.3,1.0,0.76,0.74,1.0,0.38,0.6,0.2
0.36,1.0,0.98,0.84,0.56,0.58,0.82,0.8,0.8,0.6,0.32,0.2
0.52,1.0,0.98,0.38,0.32,0.58,0.78,0.8,0.98,0.58,0.56,0.2
0.32,1.0,0.98,0.36,0.34,0.5,0.78,0.76,0.66,0.98,0.56,0.2
0.38,1.0,0.98,0.34,0.34,0.98,0.78,1.0,0.48,0.7,0.48,0.2
0.82,1.0,0.98,0.76,0.94,0.56,0.78,0.78,1.0,0.94,0.32,0.2
0.32,1.0,0.98,0.38,0.96,0.72,0.78,1.0,0.64,0.98,0.74,0.2
0.84,1.0,0.98,0.34,0.44,0.52,1.0,1.0,0.98,0.64,0.36,0.2
0.36,1.0,0.98,0.34,0.42,0.64,0.72,1.0,0.46,0.96,0.32,0.2
0.32,1.0,0.98,0.44,0.54,0.98,0.78,0.78,0.68,0.58,0.34,0.2
0.32,1.0,0.98,0.38,0.52,0.56,1.0,0.76,0.62,0.6,0.76,0.2
0.34,1.0,0.98,0.62,0.54,0.58,0.8,0.8,0.6,0.46,0.36,0.2
0.34,1.0,0.98,0.38,0.92,0.96,1.0,0.8,0.36,0.52,0.78,0.2
0.64,1.0,0.98,0.34,0.98,0.58,1.0,0.98,1.0,0.8,0.52,0.2
0.32,1.0,0.98,0.82,0.6,0.7,0.8,0.8,0.68,0.52,0.36,0.2
0.32,1.0,0.98,0.34,0.34,0.64,0.78,1.0,0.5,0.46,0.48,0.2
0.36,1.0,0.98,0.54,0.94,0.68,1.0,1.0,0.68,1.0,0.8,0.2
0.72,1.0,0.98,0.3,0.32,0.94,0.8,0.8,0.54,0.52,0.32,0.2
0.32,1.0,0.98,0.48,0.96,0.48,0.76,0.76,0.64,0.64,0.32,0.2
0.32,1.0,0.98,0.68,0.98,0.48,0.72,0.72,0.54,0.98,0.32,0.2
0.52,1.0,0.98,0.38,0.98,0.58,0.78,0.8,0.98,0.58,0.56,0.2
0.9,1.0,0.98,0.38,0.34,0.58,0.78,0.8,0.58,0.38,0.42,0.2
0.68,1.0,0.98,0.9,0.66,0.68,0.78,0.78,0.58,0.66,0.36,0.2
0.74,1.0,0.98,0.5,0.98,1.0,0.78,0.78,0.82,0.68,0.36,0.2
0.32,1.0,0.98,0.62,0.4,0.56,0.78,0.8,0.56,0.58,0.6,0.2
0.36,1.0,0.98,0.34,0.58,0.5,0.8,0.8,0.52,0.5,0.58,0.2
0.36,1.0,0.98,0.42,0.48,0.74,0.8,0.78,0.92,0.92,0.54,0.2
0.26,1.0,0.98,0.76,0.46,0.62,0.78,1.0,0.96,0.64,0.32,0.2
0.32,1.0,0.98,0.5,0.52,0.8,0.78,0.76,0.6,0.36,0.32,0.2
0.36,1.0,0.98,0.32,0.54,0.64,0.68,0.8,0.48,0.42,0.36,0.2
0.5,1.0,0.98,0.34,0.96,0.64,0.78,0.78,0.64,0.84,0.36,0.2
0.56,1.0,0.98,0.48,0.98,1.0,0.76,0.76,0.76,0.7,0.36,0.2
0.42,1.0,0.98,0.34,0.98,0.52,0.78,0.78,0.64,0.66,0.32,0.2
0.62,1.0,0.98,0.52,0.38,0.66,0.78,0.78,0.78,0.98,0.54,0.2
0.36,1.0,0.98,0.38,0.52,0.52,0.72,0.8,0.8,0.94,0.32,0.2
0.32,1.0,0.98,0.38,0.64,0.6,1.0,1.0,1.0,0.64,0.36,0.2
0.42,1.0,0.98,0.36,0.34,0.56,0.8,0.8,0.98,0.98,0.56,0.2
