Method,Nodes,Edges,Top-10 Degrees,CSA,Control Entropy (H_C),Weighted Control Potential (WCP),Robustness (R - degree)
Baseline,50,141,[17; 15; 13; 11; 11; 10; 10; 9; 9; 8],0.6321,1.6094,2.3556,0.3218
RCP,50,141,[17; 15; 13; 11; 11; 10; 10; 9; 9; 8],0.6321,1.6094,2.9444,0.4994
Bi-level,50,141,[7; 7; 7; 7; 6; 6; 6; 6; 6; 6],0.6321,1.6094,2.4833,0.4357
Bimodal+Random,50,141,[7; 7; 7; 7; 6; 6; 6; 6; 6; 6],0.6321,1.6094,2.3944,0.4493
Random+RL,50,141,[11; 10; 10; 9; 9; 9; 8; 8; 7; 7],0.6321,1.6094,2.5256,0.3736
GA+RL,50,141,[7; 7; 7; 7; 7; 7; 7; 7; 7; 7],0.6321,1.6094,2.4685,0.3578
Onion+Ra,50,141,[17; 15; 13; 11; 11; 10; 10; 9; 9; 8],0.6321,1.6094,2.2963,0.4522
Onion+RL,50,141,[17; 15; 13; 11; 11; 10; 10; 9; 9; 8],0.6321,1.6094,2.4415,0.4962
SOLO+Ra,50,141,[9; 9; 8; 8; 7; 7; 7; 7; 7; 7],0.6321,1.6094,2.3426,0.3395
SOLO+RL,50,141,[9; 9; 8; 8; 7; 7; 7; 7; 7; 7],0.6321,1.6094,2.3685,0.3035
ROMEN+Ra,50,141,[17; 15; 13; 11; 11; 10; 10; 9; 9; 8],0.6321,1.6094,2.4944,0.3259
ROMEN+RL,50,141,[17; 15; 13; 11; 11; 10; 10; 9; 9; 8],0.6321,1.6094,2.8185,0.4710
BimodalRL,50,141,[17; 15; 13; 11; 11; 10; 10; 9; 9; 8],0.6321,1.6094,2.8185,0.4710
UNITY+Ra,50,141,[9; 9; 8; 8; 8; 8; 8; 8; 7; 7],0.6321,1.6094,2.2015,0.4413
UNITY+RL,50,141,[9; 9; 8; 8; 8; 8; 8; 8; 7; 7],0.6321,1.6094,2.4263,0.4580
