Method,CSA,Control Entropy (H_C),Weighted Control Potential (WCP),Robustness (R - random)
Baseline,0.9179,1.6094,2.4870,0.3571
RCP,0.9179,1.6094,2.8593,0.4904
Bi-level,0.9179,1.6094,3.1407,0.4487
Bimodal+Random,0.9179,1.6094,2.4963,0.4798
Random+RL,0.9179,1.6094,2.7130,0.4744
GA+RL,0.9179,1.6094,2.4463,0.4942
Onion+Ra,0.9179,1.6094,2.1193,0.4627
Onion+RL,0.9179,1.6094,2.4759,0.4926
SOLO+Ra,0.9179,1.6094,2.0752,0.5000
SOLO+RL,0.9179,1.6094,2.4515,0.4583
ROMEN+Ra,0.9179,1.6094,2.4778,0.4509
ROMEN+RL,0.9179,1.6094,2.8593,0.4976
