Method,Nodes,Edges,Top-10 Degrees,CSA,Control Entropy (H_C),Weighted Control Potential (WCP),Robustness (R - random)
Baseline,50,141,[19; 17; 14; 12; 11; 11; 11; 10; 9; 9],0.6321,1.6094,2.8000,0.4129
RCP,50,141,[19; 17; 14; 12; 11; 11; 11; 10; 9; 9],0.6321,1.6094,3.0407,0.4146
Bi-level,50,141,[17; 15; 13; 12; 11; 10; 8; 7; 7; 7],0.6321,1.6094,2.6963,0.4708
Bimodal+Random,50,141,[17; 15; 13; 12; 11; 10; 8; 7; 7; 7],0.6321,1.6094,2.5748,0.4808
Random+RL,50,141,[10; 9; 9; 8; 8; 8; 8; 8; 7; 7],0.6321,1.6094,2.5370,0.4609
GA+RL,50,141,[8; 7; 7; 7; 7; 7; 7; 7; 7; 7],0.6321,1.6094,2.5407,0.5000
Onion+Ra,50,141,[19; 17; 14; 12; 11; 11; 11; 10; 9; 9],0.6321,1.6094,2.4081,0.3847
Onion+RL,50,141,[19; 17; 14; 12; 11; 11; 11; 10; 9; 9],0.6321,1.6094,2.6278,0.4189
SOLO+Ra,50,141,[9; 9; 8; 8; 8; 7; 7; 6; 6; 6],0.6321,1.6094,2.1667,0.4854
SOLO+RL,50,141,[9; 9; 8; 8; 8; 7; 7; 6; 6; 6],0.6321,1.6094,2.4685,0.4892
ROMEN+Ra,50,141,[19; 17; 14; 12; 11; 11; 11; 10; 9; 9],0.6321,1.6094,2.4000,0.4650
ROMEN+RL,50,141,[19; 17; 14; 12; 11; 11; 11; 10; 9; 9],0.6321,1.6094,2.8870,0.4635
BimodalRL,50,141,[19; 17; 14; 12; 11; 11; 11; 10; 9; 9],0.6321,1.6094,2.8870,0.4388
UNITY+Ra,50,141,[10; 10; 8; 8; 8; 8; 8; 8; 8; 8],0.6321,1.6094,2.4193,0.4992
UNITY+RL,50,141,[10; 10; 8; 8; 8; 8; 8; 8; 8; 8],0.6321,1.6094,2.3874,0.4313
