x_val,nn
0.0,1.0
0.002,0.998
0.004,0.996
0.006,0.992
0.008,0.99
0.01,0.986
0.012,0.984
0.018,0.982
0.02,0.98
0.022,0.976
0.024,0.974
0.026,0.972
0.028,0.97
0.03,0.968
0.036,0.962
0.038,0.96
0.04,0.958
0.042,0.952
0.044,0.948
0.046,0.946
0.048,0.944
0.05,0.938
0.052,0.936
0.054,0.93
0.056,0.928
0.058,0.924
0.06,0.922
0.062,0.918
0.064,0.914
0.066,0.912
0.068,0.91
0.07,0.908
0.072,0.904
0.074,0.902
0.076,0.9
0.078,0.896
0.08,0.894
0.082,0.89
0.084,0.888
0.086,0.886
0.088,0.884
0.09,0.88
0.092,0.876
0.094,0.872
0.128,0.87
0.13,0.866
0.132,0.864
0.134,0.862
0.136,0.858
0.138,0.85
0.14,0.848
0.142,0.846
0.144,0.842
0.146,0.84
0.16,0.836
0.164,0.832
0.166,0.824
0.174,0.822
0.176,0.818
0.178,0.812
0.18,0.804
0.182,0.8
0.184,0.796
0.186,0.79
0.188,0.788
0.19,0.784
0.192,0.78
0.194,0.778
0.196,0.776
0.198,0.774
0.2,0.762
0.202,0.758
0.204,0.756
0.206,0.752
0.208,0.748
0.21,0.744
0.212,0.742
0.214,0.732
0.216,0.73
0.218,0.728
0.22,0.722
0.222,0.716
0.224,0.712
0.226,0.706
0.228,0.702
0.23,0.692
0.232,0.686
0.234,0.68
0.236,0.67
0.238,0.664
0.31,0.662
0.32,0.652
0.322,0.642
0.324,0.638
0.326,0.63
0.328,0.604
0.33,0.602
0.332,0.596
0.334,0.586
0.336,0.582
0.338,0.576
0.384,0.572
0.386,0.548
0.388,0.546
0.39,0.542
0.392,0.542
0.394,0.53
0.396,0.526
0.398,0.522
0.434,0.518
0.436,0.51
0.438,0.506
0.44,0.502
0.442,0.498
0.444,0.496
0.446,0.486
0.46,0.482
0.462,0.474
0.464,0.456
0.466,0.44
0.468,0.432
0.47,0.428
0.472,0.406
0.474,0.394
0.476,0.394
0.478,0.33
0.48,0.33
0.482,0.328
0.484,0.318
0.486,0.238
0.488,0.238
0.49,0.238
0.492,0.238
0.494,0.238
0.496,0.232
0.498,0.232
0.624,0.186
0.625,0.0
1.0,0.0
