x_val,nn
0.0,1.0
0.002,0.998
0.004,0.996
0.006,0.992
0.008,0.99
0.01,0.986
0.012,0.984
0.014,0.982
0.02,0.98
0.022,0.976
0.024,0.974
0.026,0.972
0.028,0.97
0.03,0.968
0.032,0.962
0.034,0.96
0.042,0.958
0.044,0.952
0.046,0.948
0.048,0.946
0.056,0.944
0.062,0.938
0.064,0.936
0.066,0.93
0.068,0.928
0.07,0.924
0.072,0.922
0.074,0.918
0.076,0.914
0.078,0.912
0.08,0.91
0.082,0.908
0.096,0.904
0.098,0.902
0.1,0.9
0.102,0.896
0.104,0.894
0.106,0.89
0.108,0.888
0.11,0.886
0.112,0.884
0.12,0.88
0.122,0.876
0.124,0.872
0.126,0.87
0.134,0.866
0.136,0.864
0.138,0.862
0.142,0.858
0.144,0.85
0.146,0.848
0.148,0.846
0.15,0.842
0.152,0.84
0.154,0.836
0.156,0.832
0.158,0.824
0.16,0.822
0.162,0.818
0.164,0.812
0.186,0.804
0.188,0.8
0.19,0.796
0.198,0.79
0.2,0.788
0.202,0.784
0.204,0.78
0.206,0.778
0.208,0.776
0.21,0.774
0.212,0.762
0.214,0.758
0.216,0.756
0.218,0.752
0.22,0.748
0.222,0.744
0.244,0.742
0.246,0.732
0.248,0.73
0.25,0.728
0.252,0.722
0.254,0.716
0.256,0.712
0.258,0.706
0.26,0.702
0.262,0.692
0.264,0.686
0.266,0.68
0.268,0.67
0.32,0.664
0.322,0.662
0.326,0.652
0.328,0.642
0.33,0.638
0.332,0.63
0.334,0.604
0.336,0.602
0.382,0.596
0.384,0.586
0.386,0.582
0.388,0.576
0.39,0.572
0.392,0.548
0.394,0.546
0.396,0.542
0.398,0.542
0.4,0.53
0.402,0.526
0.404,0.522
0.406,0.518
0.408,0.51
0.41,0.506
0.412,0.502
0.414,0.498
0.416,0.496
0.418,0.486
0.42,0.482
0.484,0.474
0.486,0.456
0.488,0.44
0.518,0.432
0.52,0.428
0.522,0.406
0.524,0.394
0.526,0.394
0.528,0.33
0.53,0.328
0.532,0.318
0.534,0.238
0.576,0.238
0.578,0.238
0.58,0.238
0.582,0.238
0.584,0.232
0.586,0.232
0.588,0.186
0.589,0.0
1.0,0.0
