x_val,nn
0.0,1.0
0.002,0.994
0.004,0.992
0.006,0.99
0.008,0.988
0.01,0.986
0.012,0.984
0.014,0.982
0.016,0.98
0.018,0.978
0.02,0.974
0.022,0.972
0.024,0.97
0.028,0.968
0.03,0.966
0.032,0.964
0.034,0.962
0.036,0.96
0.038,0.958
0.04,0.956
0.042,0.954
0.044,0.952
0.046,0.95
0.048,0.948
0.05,0.946
0.052,0.944
0.054,0.942
0.056,0.94
0.058,0.938
0.06,0.936
0.062,0.934
0.064,0.932
0.066,0.93
0.068,0.928
0.07,0.926
0.072,0.924
0.074,0.922
0.076,0.92
0.078,0.918
0.08,0.914
0.082,0.912
0.084,0.91
0.088,0.908
0.09,0.906
0.092,0.904
0.094,0.902
0.096,0.898
0.1,0.896
0.102,0.894
0.104,0.892
0.106,0.89
0.108,0.888
0.11,0.886
0.112,0.884
0.114,0.882
0.116,0.88
0.118,0.878
0.12,0.876
0.122,0.874
0.124,0.872
0.126,0.868
0.128,0.866
0.13,0.862
0.132,0.86
0.134,0.858
0.14,0.856
0.142,0.852
0.144,0.85
0.146,0.848
0.148,0.846
0.152,0.844
0.154,0.842
0.156,0.84
0.158,0.838
0.16,0.836
0.162,0.832
0.164,0.83
0.168,0.828
0.17,0.826
0.172,0.824
0.174,0.822
0.176,0.82
0.178,0.818
0.18,0.816
0.182,0.814
0.184,0.812
0.186,0.81
0.188,0.808
0.19,0.806
0.192,0.804
0.196,0.8
0.198,0.798
0.2,0.796
0.202,0.794
0.204,0.792
0.206,0.79
0.208,0.788
0.21,0.786
0.212,0.784
0.214,0.78
0.216,0.778
0.218,0.776
0.22,0.774
0.222,0.772
0.224,0.77
0.226,0.768
0.228,0.764
0.23,0.762
0.24,0.756
0.242,0.754
0.244,0.752
0.246,0.75
0.248,0.748
0.25,0.746
0.252,0.744
0.254,0.74
0.256,0.738
0.258,0.736
0.26,0.734
0.262,0.732
0.268,0.728
0.27,0.726
0.272,0.724
0.274,0.722
0.276,0.716
0.278,0.714
0.28,0.71
0.29,0.706
0.292,0.704
0.294,0.702
0.296,0.7
0.298,0.698
0.3,0.696
0.302,0.694
0.304,0.692
0.306,0.688
0.308,0.686
0.31,0.68
0.312,0.676
0.314,0.674
0.326,0.67
0.328,0.666
0.33,0.664
0.332,0.66
0.334,0.658
0.336,0.654
0.338,0.652
0.34,0.648
0.342,0.646
0.344,0.638
0.346,0.636
0.348,0.628
0.35,0.626
0.374,0.622
0.376,0.618
0.38,0.616
0.382,0.614
0.384,0.612
0.386,0.608
0.388,0.604
0.39,0.6
0.392,0.598
0.394,0.59
0.396,0.582
0.398,0.58
0.4,0.578
0.402,0.576
0.404,0.574
0.406,0.572
0.408,0.566
0.41,0.564
0.412,0.558
0.414,0.548
0.416,0.54
0.418,0.538
0.42,0.536
0.422,0.53
0.424,0.528
0.426,0.526
0.428,0.526
0.43,0.524
0.432,0.522
0.434,0.516
0.436,0.514
0.438,0.512
0.44,0.508
0.442,0.506
0.444,0.502
0.446,0.5
0.448,0.496
0.45,0.494
0.452,0.49
0.454,0.484
0.456,0.48
0.458,0.468
0.46,0.466
0.462,0.464
0.464,0.442
0.466,0.436
0.468,0.432
0.47,0.428
0.472,0.426
0.474,0.424
0.476,0.406
0.478,0.4
0.48,0.398
0.482,0.392
0.484,0.386
0.486,0.386
0.488,0.386
0.49,0.384
0.492,0.378
0.494,0.378
0.496,0.372
0.498,0.37
0.628,0.368
0.63,0.366
0.632,0.364
0.638,0.358
0.64,0.352
0.642,0.346
0.644,0.322
0.704,0.292
0.706,0.29
0.708,0.248
0.71,0.24
0.712,0.238
0.714,0.224
0.716,0.212
0.718,0.208
0.72,0.198
0.721,0.0
1.0,0.0
