x_val,nn
0.0,1.0
0.002,0.998
0.004,0.996
0.006,0.994
0.008,0.992
0.01,0.99
0.012,0.988
0.014,0.986
0.016,0.984
0.018,0.982
0.02,0.98
0.022,0.978
0.024,0.976
0.026,0.974
0.028,0.972
0.03,0.97
0.032,0.968
0.034,0.966
0.036,0.964
0.038,0.962
0.04,0.96
0.042,0.958
0.044,0.956
0.046,0.954
0.048,0.952
0.05,0.95
0.052,0.948
0.054,0.946
0.056,0.944
0.058,0.942
0.06,0.94
0.062,0.938
0.064,0.936
0.066,0.934
0.068,0.932
0.07,0.93
0.072,0.928
0.074,0.926
0.076,0.924
0.078,0.922
0.08,0.92
0.082,0.918
0.084,0.916
0.086,0.914
0.088,0.912
0.09,0.91
0.092,0.908
0.094,0.906
0.096,0.904
0.098,0.902
0.1,0.9
0.102,0.898
0.104,0.896
0.106,0.894
0.108,0.892
0.11,0.89
0.112,0.888
0.114,0.886
0.116,0.884
0.118,0.882
0.12,0.88
0.122,0.878
0.124,0.876
0.126,0.874
0.128,0.872
0.13,0.87
0.132,0.868
0.134,0.866
0.136,0.864
0.138,0.862
0.14,0.86
0.142,0.858
0.144,0.856
0.146,0.854
0.148,0.852
0.15,0.85
0.152,0.848
0.154,0.846
0.156,0.842
0.158,0.84
0.16,0.838
0.162,0.836
0.164,0.834
0.166,0.832
0.168,0.83
0.17,0.828
0.172,0.826
0.174,0.824
0.176,0.822
0.178,0.82
0.18,0.818
0.182,0.816
0.184,0.814
0.186,0.812
0.188,0.81
0.19,0.808
0.192,0.806
0.194,0.804
0.196,0.802
0.198,0.8
0.202,0.798
0.204,0.796
0.206,0.794
0.208,0.792
0.21,0.79
0.212,0.788
0.214,0.786
0.216,0.784
0.218,0.782
0.22,0.78
0.222,0.778
0.224,0.776
0.226,0.774
0.228,0.772
0.23,0.77
0.232,0.768
0.234,0.766
0.236,0.764
0.238,0.762
0.24,0.76
0.242,0.758
0.244,0.756
0.246,0.754
0.248,0.752
0.25,0.748
0.252,0.746
0.254,0.744
0.256,0.742
0.258,0.74
0.26,0.738
0.262,0.736
0.264,0.734
0.266,0.732
0.268,0.73
0.27,0.728
0.272,0.724
0.274,0.72
0.276,0.718
0.278,0.716
0.28,0.714
0.282,0.712
0.284,0.708
0.286,0.706
0.288,0.704
0.29,0.702
0.292,0.7
0.294,0.698
0.296,0.696
0.298,0.694
0.308,0.69
0.31,0.688
0.312,0.686
0.314,0.684
0.316,0.682
0.318,0.68
0.32,0.678
0.322,0.676
0.324,0.674
0.326,0.672
0.328,0.67
0.33,0.668
0.332,0.666
0.334,0.664
0.336,0.662
0.338,0.66
0.34,0.658
0.342,0.656
0.344,0.652
0.346,0.65
0.348,0.648
0.35,0.646
0.352,0.644
0.354,0.642
0.356,0.64
0.358,0.638
0.36,0.636
0.364,0.634
0.366,0.632
0.368,0.63
0.37,0.628
0.372,0.626
0.374,0.624
0.376,0.622
0.378,0.62
0.38,0.618
0.382,0.616
0.386,0.612
0.388,0.61
0.39,0.608
0.392,0.606
0.394,0.598
0.396,0.596
0.398,0.594
0.4,0.588
0.402,0.586
0.404,0.584
0.416,0.582
0.418,0.58
0.42,0.578
0.422,0.576
0.424,0.574
0.426,0.572
0.428,0.57
0.43,0.568
0.432,0.566
0.434,0.564
0.436,0.562
0.438,0.56
0.44,0.558
0.442,0.556
0.446,0.546
0.448,0.544
0.45,0.542
0.452,0.54
0.454,0.538
0.456,0.536
0.458,0.532
0.46,0.53
0.462,0.528
0.464,0.526
0.466,0.524
0.468,0.522
0.472,0.52
0.474,0.518
0.476,0.516
0.478,0.514
0.48,0.512
0.482,0.508
0.484,0.502
0.486,0.498
0.488,0.49
0.49,0.486
0.492,0.484
0.494,0.478
0.496,0.476
0.498,0.472
0.5,0.47
0.502,0.468
0.504,0.466
0.506,0.464
0.508,0.464
0.51,0.462
0.512,0.462
0.514,0.456
0.516,0.454
0.518,0.452
0.52,0.45
0.522,0.448
0.548,0.446
0.55,0.444
0.552,0.442
0.554,0.44
0.556,0.438
0.558,0.43
0.562,0.428
0.564,0.426
0.566,0.424
0.568,0.422
0.57,0.42
0.572,0.418
0.574,0.416
0.576,0.414
0.578,0.412
0.58,0.41
0.582,0.408
0.584,0.406
0.586,0.404
0.588,0.402
0.59,0.398
0.592,0.396
0.594,0.394
0.596,0.392
0.598,0.39
0.6,0.388
0.602,0.386
0.604,0.382
0.606,0.38
0.608,0.376
0.61,0.37
0.612,0.366
0.614,0.358
0.632,0.356
0.634,0.354
0.636,0.352
0.638,0.35
0.64,0.348
0.642,0.346
0.644,0.34
0.646,0.334
0.648,0.332
0.65,0.324
0.652,0.318
0.654,0.316
0.656,0.314
0.674,0.312
0.676,0.31
0.678,0.306
0.68,0.296
0.682,0.294
0.684,0.292
0.686,0.29
0.688,0.288
0.69,0.288
0.7,0.286
0.702,0.284
0.704,0.278
0.71,0.276
0.712,0.274
0.714,0.272
0.716,0.27
0.718,0.268
0.72,0.266
0.722,0.264
0.724,0.262
0.726,0.254
0.728,0.238
0.73,0.236
0.732,0.23
0.734,0.228
0.736,0.224
0.738,0.222
0.74,0.22
0.742,0.214
0.744,0.198
0.745,0.0
1.0,0.0
