x_val,nn
0.0,1.0
0.002,0.998
0.004,0.996
0.006,0.994
0.008,0.992
0.01,0.99
0.012,0.988
0.014,0.986
0.016,0.984
0.018,0.982
0.02,0.98
0.022,0.978
0.024,0.976
0.026,0.974
0.028,0.972
0.03,0.97
0.032,0.968
0.034,0.966
0.036,0.964
0.038,0.962
0.04,0.96
0.042,0.958
0.044,0.956
0.046,0.954
0.048,0.952
0.05,0.95
0.052,0.948
0.054,0.946
0.056,0.944
0.058,0.942
0.06,0.94
0.062,0.938
0.064,0.936
0.066,0.934
0.068,0.932
0.07,0.93
0.072,0.928
0.074,0.926
0.076,0.924
0.078,0.922
0.08,0.92
0.082,0.918
0.084,0.916
0.086,0.914
0.088,0.912
0.09,0.908
0.092,0.906
0.094,0.904
0.096,0.902
0.098,0.9
0.1,0.898
0.102,0.896
0.104,0.894
0.106,0.892
0.108,0.89
0.11,0.888
0.112,0.886
0.114,0.884
0.116,0.882
0.118,0.88
0.12,0.878
0.122,0.876
0.124,0.874
0.126,0.872
0.128,0.87
0.13,0.868
0.132,0.866
0.134,0.864
0.136,0.862
0.138,0.86
0.14,0.858
0.142,0.856
0.144,0.854
0.146,0.852
0.148,0.85
0.15,0.848
0.152,0.846
0.154,0.844
0.156,0.842
0.158,0.84
0.16,0.838
0.162,0.836
0.164,0.834
0.166,0.832
0.168,0.83
0.17,0.828
0.172,0.826
0.174,0.824
0.176,0.822
0.178,0.82
0.18,0.818
0.182,0.816
0.184,0.814
0.186,0.81
0.188,0.808
0.192,0.806
0.194,0.804
0.196,0.802
0.198,0.8
0.2,0.798
0.202,0.796
0.204,0.794
0.206,0.792
0.208,0.79
0.21,0.788
0.212,0.786
0.214,0.784
0.216,0.78
0.218,0.778
0.22,0.776
0.222,0.774
0.224,0.772
0.226,0.77
0.228,0.768
0.23,0.766
0.232,0.764
0.236,0.764
0.238,0.76
0.24,0.758
0.242,0.756
0.246,0.754
0.248,0.752
0.25,0.75
0.252,0.748
0.254,0.744
0.256,0.742
0.258,0.74
0.26,0.738
0.262,0.736
0.264,0.734
0.266,0.732
0.268,0.73
0.27,0.728
0.272,0.726
0.274,0.724
0.276,0.722
0.278,0.72
0.28,0.718
0.282,0.716
0.284,0.714
0.286,0.712
0.29,0.71
0.292,0.708
0.294,0.704
0.296,0.7
0.298,0.698
0.3,0.696
0.302,0.694
0.304,0.692
0.306,0.69
0.308,0.684
0.31,0.682
0.312,0.68
0.314,0.678
0.316,0.676
0.318,0.674
0.32,0.672
0.322,0.67
0.324,0.668
0.326,0.666
0.328,0.664
0.33,0.662
0.332,0.66
0.334,0.658
0.336,0.656
0.338,0.654
0.34,0.652
0.342,0.65
0.344,0.65
0.346,0.648
0.348,0.646
0.35,0.644
0.352,0.642
0.354,0.64
0.356,0.638
0.358,0.636
0.36,0.634
0.362,0.632
0.364,0.63
0.366,0.628
0.368,0.622
0.37,0.62
0.372,0.618
0.374,0.616
0.376,0.612
0.378,0.61
0.38,0.608
0.382,0.606
0.384,0.604
0.386,0.598
0.388,0.596
0.39,0.594
0.392,0.592
0.394,0.588
0.396,0.586
0.398,0.582
0.4,0.58
0.402,0.578
0.404,0.576
0.406,0.574
0.408,0.572
0.41,0.57
0.412,0.568
0.414,0.566
0.416,0.564
0.418,0.552
0.42,0.55
0.422,0.544
0.424,0.542
0.426,0.536
0.428,0.534
0.43,0.532
0.432,0.53
0.434,0.528
0.436,0.526
0.458,0.52
0.46,0.518
0.462,0.516
0.464,0.508
0.466,0.506
0.468,0.504
0.47,0.502
0.472,0.5
0.474,0.498
0.476,0.496
0.478,0.494
0.48,0.492
0.482,0.492
0.484,0.49
0.486,0.488
0.488,0.486
0.49,0.484
0.492,0.484
0.494,0.476
0.496,0.474
0.506,0.472
0.508,0.47
0.51,0.468
0.512,0.466
0.514,0.464
0.516,0.462
0.518,0.452
0.52,0.45
0.522,0.448
0.524,0.444
0.526,0.442
0.528,0.44
0.53,0.438
0.532,0.436
0.534,0.434
0.536,0.43
0.54,0.424
0.542,0.422
0.544,0.42
0.546,0.418
0.548,0.41
0.55,0.406
0.552,0.404
0.554,0.396
0.556,0.394
0.558,0.392
0.56,0.39
0.562,0.388
0.572,0.388
0.574,0.386
0.576,0.378
0.578,0.376
0.58,0.374
0.582,0.372
0.584,0.368
0.586,0.366
0.588,0.362
0.59,0.36
0.592,0.358
0.594,0.352
0.596,0.35
0.598,0.348
0.6,0.346
0.616,0.346
0.618,0.34
0.62,0.338
0.622,0.334
0.63,0.332
0.632,0.33
0.634,0.318
0.636,0.312
0.638,0.31
0.64,0.308
0.642,0.304
0.644,0.3
0.646,0.298
0.648,0.298
0.65,0.296
0.652,0.294
0.654,0.29
0.656,0.288
0.658,0.286
0.66,0.284
0.672,0.282
0.674,0.28
0.676,0.27
0.678,0.268
0.68,0.266
0.682,0.264
0.684,0.262
0.686,0.258
0.7,0.258
0.702,0.254
0.704,0.248
0.706,0.246
0.708,0.244
0.71,0.242
0.716,0.242
0.718,0.242
0.72,0.234
0.722,0.232
0.724,0.208
0.726,0.204
0.728,0.2
0.729,0.0
1.0,0.0
