Method,CSA,Control Entropy (H_C),Weighted Control Potential (WCP),Robustness (R - degree)
Baseline,0.9179,1.6094,2.2043,0.1451
RCP,0.9179,1.6094,2.8874,0.4108
Bi-level,0.9179,1.6094,2.3064,0.2866
Bimodal+Random,0.9179,1.6094,1.8591,0.2457
Random+RL,0.7962,1.1942,1.5290,0.2901
GA+RL,0.9179,1.6094,1.8939,0.3663
Onion+Ra,0.8519,1.4179,1.8570,0.2199
Onion+RL,0.8519,1.4179,2.2511,0.3132
SOLO+Ra,0.9179,1.6094,1.7299,0.2917
SOLO+RL,0.9179,1.6094,1.9101,0.3784
ROMEN+Ra,0.9179,1.6094,2.1815,0.1031
ROMEN+RL,0.9179,1.6094,2.8964,0.3631
