Method,CSA,Control Entropy (H_C),Weighted Control Potential (WCP),Robustness (R - random)
Baseline,0.9179,1.6094,2.2158,0.4343
RCP,0.9179,1.6094,2.8874,0.4669
Bi-level,0.9179,1.6094,2.3064,0.4439
Bimodal+Random,0.9179,1.6094,1.9916,0.4360
Random+RL,0.8367,1.3137,1.6165,0.4352
GA+RL,0.9179,1.6094,1.8866,0.4089
Onion+Ra,0.8219,1.2902,1.6173,0.4017
Onion+RL,0.8519,1.4179,2.3626,0.4328
SOLO+Ra,0.9179,1.6094,1.7431,0.4342
SOLO+RL,0.9179,1.6094,1.8745,0.4049
ROMEN+Ra,0.9179,1.6094,2.2277,0.4257
ROMEN+RL,0.9179,1.6094,2.8964,0.4652
