Method,CSA,Control Entropy (H_C),Weighted Control Potential (WCP),Robustness (R - degree)
Baseline,1.0000,2.9957,2.8201,0.1534
RCP,1.0000,2.9957,2.9727,0.2677
Bi-level,1.0000,2.9957,4.6517,0.3033
Bimodal+Random,1.0000,2.9957,4.2339,0.1708
Random+RL,0.8414,1.4012,1.0953,0.2221
GA+RL,0.9873,2.5936,2.6930,0.2951
Onion+Ra,1.0000,2.9957,2.8620,0.3951
Onion+RL,1.0000,2.9957,2.9116,0.4293
SOLO+Ra,1.0000,2.9957,3.2883,0.2269
SOLO+RL,1.0000,2.9957,3.4884,0.2765
ROMEN+Ra,1.0000,2.9957,2.7178,0.1553
ROMEN+RL,1.0000,2.9957,2.9947,0.2584
