Method,CSA,Control Entropy (H_C),Weighted Control Potential (WCP),Robustness (R - random)
Baseline,0.9817,2.9957,2.6463,0.2223
RCP,0.9817,2.9957,2.9727,0.2652
Bi-level,0.9817,2.9957,4.6841,0.3985
Bimodal+Random,0.9817,2.9957,4.2210,0.4421
Random+RL,0.8162,2.2161,2.1013,0.4022
GA+RL,0.8852,2.4011,2.3067,0.3534
Onion+Ra,0.9817,2.9957,2.9398,0.3249
Onion+RL,0.9817,2.9957,3.0350,0.3058
SOLO+Ra,0.9817,2.9957,3.1925,0.3647
SOLO+RL,0.9817,2.9957,3.4670,0.3320
ROMEN+Ra,0.9817,2.9957,2.5715,0.3610
ROMEN+RL,0.9817,2.9957,2.8940,0.3101
