Method,CSA,Control Entropy (H_C),Weighted Control Potential (WCP),Robustness (R - degree)
Baseline,0.9997,2.7726,2.8005,0.0411
RCP,0.9997,2.7726,3.0721,0.3784
Bi-level,0.9563,2.4288,2.4800,0.3288
Bimodal+Random,0.9563,2.4288,2.1286,0.1239
Random+RL,0.3935,0.1053,0.3319,0.4527
GA+RL,0.9628,2.2179,1.8487,0.2168
Onion+Ra,0.9950,2.7109,2.3051,0.3622
Onion+RL,0.9950,2.7109,2.2459,0.3765
SOLO+Ra,0.9997,2.7726,2.5281,0.1281
SOLO+RL,0.9997,2.7726,2.7349,0.1790
ROMEN+Ra,0.9997,2.7726,2.8545,0.2416
ROMEN+RL,0.9997,2.7726,3.1088,0.3847
