
0Method,CSA,Control Entropy (H_C),Weighted Control Potential (WCP),Robustness (R - random)
Baseline,0.9997,2.7726,2.6894,0.2488
RCP,0.9997,2.7726,3.0721,0.2760
Bi-level,0.9563,2.4288,2.4285,0.3618
Bimodal+Random,0.9576,2.4016,2.1194,0.3476
Random+RL,0.4210,0.2068,0.2720,0.3262
GA+RL,0.9820,2.3175,2.0053,0.3401
Onion+Ra,0.9954,2.7038,2.2668,0.3042
Onion+RL,0.9950,2.7109,2.4173,0.2783
SOLO+Ra,0.9997,2.7726,2.4353,0.3255
SOLO+RL,0.9997,2.7726,2.6536,0.3158
ROMEN+Ra,0.9997,2.7726,2.6510,0.2906
ROMEN+RL,0.9997,2.7726,3.0792,0.2901
