Method,CSA,Control Entropy (H_C),Weighted Control Potential (WCP),Robustness (R - random)
Baseline,0.9592,2.7726,2.7019,0.2343
RCP,0.9592,2.7726,3.0721,0.3505
Bi-level,0.8427,2.4288,2.4800,0.3641
Bimodal+Random,0.8280,2.3446,1.9998,0.3421
Random+RL,0.3286,0.7148,0.5888,0.3897
GA+RL,0.8933,2.4950,2.3795,0.3205
Onion+Ra,0.9446,2.7109,2.1994,0.3728
Onion+RL,0.9446,2.7109,2.1827,0.3584
SOLO+Ra,0.9592,2.7726,2.4250,0.3862
SOLO+RL,0.9592,2.7726,2.6642,0.2391
ROMEN+Ra,0.9592,2.7726,2.5734,0.2272
ROMEN+RL,0.9592,2.7726,3.1088,0.3018
