Method,CSA,Control Entropy (H_C),Weighted Control Potential (WCP),Robustness (R - degree)
Baseline,0.9502,2.7081,2.4927,0.0957
RCP,0.9502,2.7081,2.5792,0.1129
Bi-level,0.9202,2.5684,3.5279,0.3604
Bimodal+Random,0.9202,2.5684,2.7374,0.0525
Random+RL,0.6988,1.7918,1.7021,0.3332
GA+RL,0.9392,2.6391,3.0281,0.3438
Onion+Ra,0.9502,2.7081,2.1674,0.3672
Onion+RL,0.9502,2.7081,2.1647,0.4518
SOLO+Ra,0.9502,2.7081,2.8543,0.2986
SOLO+RL,0.9502,2.7081,3.1346,0.3081
ROMEN+Ra,0.9502,2.7081,2.3585,0.0510
ROMEN+RL,0.9502,2.7081,2.6763,0.1191
