Method,CSA,Control Entropy (H_C),Weighted Control Potential (WCP),Robustness (R - random)
Baseline,0.9994,2.7081,2.3325,0.3245
RCP,0.9994,2.7081,2.5792,0.2740
Bi-level,0.9940,2.5684,3.6778,0.4061
Bimodal+Random,0.9975,2.4849,2.6900,0.4012
Random+RL,0.3847,0.0896,0.3500,0.3702
GA+RL,0.9959,2.3979,2.5692,0.3114
Onion+Ra,0.9994,2.7081,2.3033,0.3204
Onion+RL,0.9994,2.7081,2.4249,0.2862
SOLO+Ra,0.9994,2.7081,2.7142,0.3561
SOLO+RL,0.9994,2.7081,3.0099,0.2664
ROMEN+Ra,0.9994,2.7081,2.4683,0.2951
ROMEN+RL,0.9994,2.7081,2.6763,0.2192
