Method,CSA,Control Entropy (H_C),Weighted Control Potential (WCP),Robustness (R - degree)
Baseline,0.9997,2.7726,2.0440,0.1141
RCP,0.9997,2.7726,2.2235,0.1557
Bi-level,0.9720,2.5049,3.1080,0.3307
Bimodal+Random,0.9733,2.4796,2.5564,0.1367
Random+RL,0.4472,0.3111,0.3867,0.1024
GA+RL,0.9934,2.5309,2.4887,0.2675
Onion+Ra,0.9997,2.7726,2.0000,0.3543
Onion+RL,0.9997,2.7726,2.0856,0.4199
SOLO+Ra,0.9917,2.7329,2.5307,0.1739
SOLO+RL,0.9889,2.7515,2.7549,0.2678
ROMEN+Ra,0.9997,2.7726,2.0188,0.1004
ROMEN+RL,0.9997,2.7726,2.2414,0.1699
